epsilon,mass,n_expected
0.021544346900318867,0.1006060606060606,0.0
0.024770763559917138,0.1006060606060606,0.0
0.028480358684358047,0.1006060606060606,0.0
0.032745491628777317,0.1006060606060606,0.0
0.037649358067924715,0.1006060606060606,0.0
0.043287612810830614,0.1006060606060606,0.0
0.049770235643321135,0.1006060606060606,0.0
0.0572236765935022,0.1006060606060606,0.0
0.06579332246575682,0.1006060606060606,0.0
0.07564633275546291,0.1006060606060606,0.0
0.08697490026177834,0.1006060606060606,0.0
0.1,0.1006060606060606,0.0
1e-07,0.13080808080808082,0.005029878186377727
1.1497569953977356e-07,0.13080808080808082,0.008786657182292304
1.3219411484660288e-07,0.13080808080808082,0.015347549674767763
1.519911082952933e-07,0.13080808080808082,0.02680323487236984
1.747528400007683e-07,0.13080808080808082,0.04680007772563725
2.009233002565046e-07,0.13080808080808082,0.08169370723195145
2.310129700083158e-07,0.13080808080808082,0.14255276055958319
2.656087782946684e-07,0.13080808080808082,0.24863252147923812
3.0538555088334124e-07,0.13080808080808082,0.43338104954940043
3.5111917342151277e-07,0.13080808080808082,0.7547882001501746
4.037017258596558e-07,0.13080808080808082,1.3131356162235022
4.641588833612782e-07,0.13080808080808082,2.281253185911005
5.336699231206313e-07,0.13080808080808082,3.9556691467288285
6.135907273413176e-07,0.13080808080808082,6.842123820628153
7.054802310718645e-07,0.13080808080808082,11.796387778842755
8.111308307896872e-07,0.13080808080808082,20.251394359756816
9.326033468832199e-07,0.13080808080808082,34.57317473024355
1.0722672220103232e-06,0.13080808080808082,58.59617843707837
1.232846739442066e-06,0.13080808080808082,98.38089687199118
1.4174741629268049e-06,0.13080808080808082,163.1878617937801
1.6297508346206435e-06,0.13080808080808082,266.5306385291047
1.873817422860383e-06,0.13080808080808082,426.91169066719027
2.1544346900318865e-06,0.13080808080808082,667.4669627484033
2.477076355991714e-06,0.13080808080808082,1013.4339600044093
2.848035868435805e-06,0.13080808080808082,1486.6158857484522
3.2745491628777315e-06,0.13080808080808082,2097.496987328203
3.764935806792471e-06,0.13080808080808082,2838.1943411120474
4.328761281083061e-06,0.13080808080808082,3680.552351692044
4.977023564332114e-06,0.13080808080808082,4579.9610343372615
5.72236765935022e-06,0.13080808080808082,5479.2990976950605
6.579332246575683e-06,0.13080808080808082,6308.924388293752
7.564633275546291e-06,0.13080808080808082,6988.191604131625
8.697490026177835e-06,0.13080808080808082,7434.594394420943
1e-05,0.13080808080808082,7577.007137710414
1.1497569953977357e-05,0.13080808080808082,7367.620904768912
1.3219411484660286e-05,0.13080808080808082,6792.706232499632
1.5199110829529332e-05,0.13080808080808082,5884.130190867795
1.747528400007683e-05,0.13080808080808082,4729.357329199653
2.0092330025650458e-05,0.13080808080808082,3470.212405405588
2.310129700083158e-05,0.13080808080808082,2277.7266508356406
2.656087782946684e-05,0.13080808080808082,1302.8542703009482
3.053855508833412e-05,0.13080808080808082,626.5695168475037
3.511191734215127e-05,0.13080808080808082,240.550931052766
4.03701725859655e-05,0.13080808080808082,68.43667309754856
4.641588833612782e-05,0.13080808080808082,13.02420644995938
5.3366992312063123e-05,0.13080808080808082,1.4476324227235238
6.135907273413175e-05,0.13080808080808082,0.07875746075965841
7.054802310718646e-05,0.13080808080808082,0.001667897723298784
8.111308307896872e-05,0.13080808080808082,1.0201752725101036e-05
9.326033468832199e-05,0.13080808080808082,1.2171801755063854e-08
0.00010722672220103231,0.13080808080808082,1.6834552922444674e-12
0.0001232846739442066,0.13080808080808082,1.35133695345107e-17
0.00014174741629268049,0.13080808080808082,2.514352696299739e-24
0.0001629750834620645,0.13080808080808082,3.2175661693416584e-33
0.0001873817422860385,0.13080808080808082,5.676831630762718e-45
0.00021544346900318845,0.13080808080808082,1.6484224256248948e-60
0.0002477076355991711,0.13080808080808082,4.739117238679218e-81
0.0002848035868435802,0.13080808080808082,3.2785910231065905e-108
0.00032745491628777284,0.13080808080808082,4.0013664030034037e-144
0.00037649358067924675,0.13080808080808082,1.2955540413008298e-191
0.00043287612810830614,0.13080808080808082,2.064429662658731e-254
0.0004977023564332114,0.13080808080808082,0.0
0.0005722367659350221,0.13080808080808082,0.0
0.0006579332246575682,0.13080808080808082,0.0
0.000756463327554629,0.13080808080808082,0.0
0.0008697490026177834,0.13080808080808082,0.0
0.001,0.13080808080808082,0.0
0.0011497569953977356,0.13080808080808082,0.0
0.0013219411484660286,0.13080808080808082,0.0
0.0015199110829529332,0.13080808080808082,0.0
0.001747528400007683,0.13080808080808082,0.0
0.002009233002565046,0.13080808080808082,0.0
0.002310129700083158,0.13080808080808082,0.0
0.0026560877829466894,0.13080808080808082,0.0
0.003053855508833419,0.13080808080808082,0.0
0.0035111917342151347,0.13080808080808082,0.0
0.004037017258596558,0.13080808080808082,0.0
0.004641588833612782,0.13080808080808082,0.0
0.005336699231206312,0.13080808080808082,0.0
0.006135907273413176,0.13080808080808082,0.0
0.007054802310718645,0.13080808080808082,0.0
0.008111308307896872,0.13080808080808082,0.0
0.0093260334688322,0.13080808080808082,0.0
0.010722672220103232,0.13080808080808082,0.0
0.012328467394420659,0.13080808080808082,0.0
0.014174741629268049,0.13080808080808082,0.0
0.016297508346206434,0.13080808080808082,0.0
0.01873817422860383,0.13080808080808082,0.0
0.021544346900318867,0.13080808080808082,0.0
0.024770763559917138,0.13080808080808082,0.0
0.028480358684358047,0.13080808080808082,0.0
0.032745491628777317,0.13080808080808082,0.0
0.037649358067924715,0.13080808080808082,0.0
0.043287612810830614,0.13080808080808082,0.0
0.049770235643321135,0.13080808080808082,0.0
0.0572236765935022,0.13080808080808082,0.0
0.06579332246575682,0.13080808080808082,0.0
0.07564633275546291,0.13080808080808082,0.0
0.08697490026177834,0.13080808080808082,0.0
0.1,0.13080808080808082,0.0
1e-07,0.16101010101010102,0.007676221538674951
1.1497569953977356e-07,0.16101010101010102,0.013407031477540476
1.3219411484660288e-07,0.16101010101010102,0.023412125138632355
1.519911082952933e-07,0.16101010101010102,0.04087402475340948
1.747528400007683e-07,0.16101010101010102,0.07133779551950443
2.009233002565046e-07,0.16101010101010102,0.1244556401832149
2.310129700083158e-07,0.16101010101010102,0.2170077423175233
2.656087782946684e-07,0.16101010101010102,0.37811736163373383
3.0538555088334124e-07,0.16101010101010102,0.6582182400290298
3.5111917342151277e-07,0.16101010101010102,1.1443924598828141
4.037017258596558e-07,0.16101010101010102,1.9864185727762782
4.641588833612782e-07,0.16101010101010102,3.4405885335090938
5.336699231206313e-07,0.16101010101010102,5.9424694973969325
6.135907273413176e-07,0.16101010101010102,10.225624558083608
7.054802310718645e-07,0.16101010101010102,17.510677334320114
8.111308307896872e-07,0.16101010101010102,29.796302948019065
9.326033468832199e-07,0.16101010101010102,50.285523630098176
1.0722672220103232e-06,0.16101010101010102,83.96508990233662
1.232846739442066e-06,0.16101010101010102,138.30055506427402
1.4174741629268049e-06,0.16101010101010102,223.88397732483287
1.6297508346206435e-06,0.16101010101010102,354.65498483144074
1.873817422860383e-06,0.16101010101010102,547.0589657253137
2.1544346900318865e-06,0.16101010101010102,817.4274823991087
2.477076355991714e-06,0.16101010101010102,1177.3885680364826
2.848035868435805e-06,0.16101010101010102,1628.5276515873793
3.2745491628777315e-06,0.16101010101010102,2159.0510742863494
3.764935806792471e-06,0.16101010101010102,2744.5619308880946
4.328761281083061e-06,0.16101010101010102,3351.173384364542
4.977023564332114e-06,0.16101010101010102,3936.7570984732097
5.72236765935022e-06,0.16101010101010102,4450.67427784128
6.579332246575683e-06,0.16101010101010102,4837.168015981776
7.564633275546291e-06,0.16101010101010102,5043.424658343784
8.697490026177835e-06,0.16101010101010102,5028.28708862169
1e-05,0.16101010101010102,4769.737698586314
1.1497569953977357e-05,0.16101010101010102,4272.338639926566
1.3219411484660286e-05,0.16101010101010102,3574.95294858284
1.5199110829529332e-05,0.16101010101010102,2754.852285058001
1.747528400007683e-05,0.16101010101010102,1919.8745000524843
2.0092330025650458e-05,0.16101010101010102,1182.703861883716
2.310129700083158e-05,0.16101010101010102,624.873605551634
